City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Husavik,IS,66.0449,-17.3389,25.95,87,100,25.66,light snow
196,Ostrovnoy,RU,68.0531,39.5131,15.49,97,96,7.34,overcast clouds
197,Kango,GA,0.1943,10.0951,72.75,98,100,2.06,overcast clouds
198,Talnakh,RU,69.4865,88.3972,24.21,95,100,16.26,snow
199,Prainha,BR,-1.8,-53.48,74.79,86,82,4.41,broken clouds
200,Lasa,IT,46.6166,10.7002,44.02,84,100,1.1,overcast clouds
201,Acajutla,SV,13.5928,-89.8275,82.04,70,63,6.96,broken clouds
202,Namatanai,PG,-3.6667,152.4333,85.82,58,10,3.15,clear sky
203,Kavieng,PG,-2.5744,150.7967,84.96,61,17,2.51,few clouds
204,Viedma,AR,-40.8135,-62.9967,64.17,63,100,6.82,overcast clouds
205,Yarovoye,RU,52.9273,78.58,18.64,78,26,9.04,scattered clouds
206,Padang,ID,-0.9492,100.3543,86.05,68,99,2.73,overcast clouds
207,Faanui,PF,-16.4833,-151.75,82.18,76,18,13.42,light rain
208,Derzhavinsk,KZ,51.1,66.3167,14.09,84,11,4.34,few clouds
209,Canton,CN,23.1167,113.25,76.95,67,100,9.48,overcast clouds
210,Gasa,PS,31.5,34.4667,50.88,83,32,7.07,scattered clouds
211,Tevaitoa,PF,-16.7833,-151.5,82.36,75,35,13.47,scattered clouds
212,Petropavlovka,RU,50.6114,105.3196,10.47,44,65,12.77,broken clouds
213,Zhigansk,RU,66.7697,123.3711,-17.12,96,96,19.26,overcast clouds
214,Lady Lake,US,28.9175,-81.9229,65.01,92,0,11.5,clear sky
215,Mandalgovi,MN,45.7625,106.2708,7.03,43,67,15.99,broken clouds
216,Castro,BR,-24.7911,-50.0119,62.47,92,23,1.45,few clouds
217,Bowen,AU,-20.0167,148.2333,82.58,60,24,19.64,few clouds
218,Meulaboh,ID,4.1363,96.1285,83.35,70,65,2.13,broken clouds
219,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,47,0,6.91,clear sky
220,San Vicente,AR,-26.6167,-54.1333,68.95,79,50,1.25,scattered clouds
221,Khatanga,RU,71.9667,102.5,5.49,90,100,10.29,overcast clouds
222,Cidreira,BR,-30.1811,-50.2056,74.48,76,100,8.1,overcast clouds
223,Matara,LK,5.9485,80.5353,77.83,84,95,2.26,overcast clouds
224,Avera,US,33.194,-82.5271,49.51,54,46,5.37,scattered clouds
225,Catamarca,AR,-28.4696,-65.7852,81.41,51,99,7.78,overcast clouds
226,Olafsvik,IS,64.8945,-23.7142,30.47,74,100,32.77,overcast clouds
227,Georgetown,MY,5.4112,100.3354,85.93,89,20,4.61,few clouds
228,Moose Factory,CA,51.2585,-80.6094,-7.6,84,0,2.3,clear sky
229,Thompson,CA,55.7435,-97.8558,19.56,45,100,3.44,light snow
230,Tias,ES,28.9611,-13.645,62.28,82,100,12.66,overcast clouds
231,Columbus,US,39.9612,-82.9988,53.8,31,100,8.05,overcast clouds
